index,label,stage,route,archetype,care_band,generation_mask,generation_tags,tier_mask,tier_tags,gender_mask,gender_tags,source_page,source_slot,page_id,frame_family,visual_traits,entry_source,art_status,review_flags,portrait_bitmap_symbol,portrait_dimensions_px,idle_bitmap_symbol,idle_dimensions_px
10,Nikatchi,teen,rascal,rascal,3,2,odd,12,three;four,3,boy;girl,2,3,211,6,207,character_row,official-derived,,kCharacterCatalogBitmaps[10],16;16,kCharacterIdleBitmaps[10],24;24
11,Pirorirotchi,teen,dreamer,dream,2,2,odd,12,three;four,3,boy;girl,2,4,212,4,210,character_row,official-derived,,kCharacterCatalogBitmaps[11],16;16,kCharacterIdleBitmaps[11],24;24
12,Hikotchi,teen,scholar,quill,2,4,even,3,one;two,3,boy;girl,2,5,213,7,214,character_row,official-derived,,kCharacterCatalogBitmaps[12],16;16,kCharacterIdleBitmaps[12],24;24
13,Hinatchi,teen,social,buddy,2,4,even,3,one;two,3,boy;girl,2,6,214,2,218,character_row,official-derived,,kCharacterCatalogBitmaps[13],16;16,kCharacterIdleBitmaps[13],24;24
14,Youngmimitchi,teen,balanced,buddy,1,4,even,3,one;two,3,boy;girl,2,7,215,2,221,character_row,official-derived,,kCharacterCatalogBitmaps[14],16;16,kCharacterIdleBitmaps[14],24;24
15,Ringotchi,teen,social,dream,0,4,even,3,one;two,3,boy;girl,2,8,216,4,192,character_row,official-derived,,kCharacterCatalogBitmaps[15],16;16,kCharacterIdleBitmaps[15],24;24
16,Hinotamatchi,teen,athlete,bolt,2,4,even,12,three;four,3,boy;girl,3,1,217,5,230,character_row,official-derived,,kCharacterCatalogBitmaps[16],16;16,kCharacterIdleBitmaps[16],24;24
17,Hashitamatchi,teen,dreamer,dream,3,4,even,12,three;four,3,boy;girl,3,2,218,4,235,character_row,official-derived,,kCharacterCatalogBitmaps[17],16;16,kCharacterIdleBitmaps[17],24;24
18,Mametchi,adult,balanced,buddy,0,2,odd,1,one,3,boy;girl,3,3,219,3,128,character_row_traits,official-derived,,kCharacterCatalogBitmaps[18],16;16,kCharacterIdleBitmaps[18],24;24
19,Furawatchi,adult,social,dream,0,2,odd,1,one,3,boy;girl,3,4,220,4,240,character_row,official-derived,,kCharacterCatalogBitmaps[19],16;16,kCharacterIdleBitmaps[19],24;24
20,Pyonkotchi,adult,athlete,bolt,1,2,odd,1,one,3,boy;girl,3,5,221,5,245,character_row,official-derived,,kCharacterCatalogBitmaps[20],16;16,kCharacterIdleBitmaps[20],24;24
21,Kuchipatchi,adult,dreamer,dream,1,2,odd,2,two,3,boy;girl,3,6,222,4,249,character_row,official-derived,,kCharacterCatalogBitmaps[21],16;16,kCharacterIdleBitmaps[21],24;24
22,Memetchi,adult,social,dream,1,2,odd,2,two,3,boy;girl,3,7,223,4,253,character_row,official-derived,,kCharacterCatalogBitmaps[22],16;16,kCharacterIdleBitmaps[22],24;24
23,Billotchi,adult,scholar,quill,0,2,odd,2,two,3,boy;girl,3,8,224,7,224,character_row,official-derived,,kCharacterCatalogBitmaps[23],16;16,kCharacterIdleBitmaps[23],24;24
24,Tarakotchi,adult,rascal,rascal,2,2,odd,4,three,3,boy;girl,4,1,225,6,134,character_row,official-derived,,kCharacterCatalogBitmaps[24],16;16,kCharacterIdleBitmaps[24],24;24
25,Paparatchi,adult,social,buddy,3,2,odd,4,three,3,boy;girl,4,2,226,3,139,character_row,official-derived,,kCharacterCatalogBitmaps[25],16;16,kCharacterIdleBitmaps[25],24;24
26,Mimiyoritchi,adult,balanced,buddy,2,2,odd,4,three,3,boy;girl,4,3,227,3,142,character_row,official-derived,,kCharacterCatalogBitmaps[26],16;16,kCharacterIdleBitmaps[26],24;24
27,Hanatchi,adult,dreamer,dream,3,2,odd,8,four,3,boy;girl,4,4,228,4,147,character_row,official-derived,,kCharacterCatalogBitmaps[27],16;16,kCharacterIdleBitmaps[27],24;24
28,Hashizotchi,adult,dreamer,dream,2,2,odd,8,four,3,boy;girl,4,5,229,4,150,character_row,official-derived,,kCharacterCatalogBitmaps[28],16;16,kCharacterIdleBitmaps[28],24;24
29,Tsunotchi,adult,athlete,bolt,3,2,odd,8,four,3,boy;girl,4,6,230,5,155,character_row,official-derived,,kCharacterCatalogBitmaps[29],16;16,kCharacterIdleBitmaps[29],24;24
30,Maskutchi,adult,rascal,rascal,3,2,odd,16,special,3,boy;girl,4,7,231,6,159,character_row,official-derived,,kCharacterCatalogBitmaps[30],16;16,kCharacterIdleBitmaps[30],24;24
31,Megatchi,adult,athlete,bolt,2,2,odd,16,special,3,boy;girl,4,8,232,5,130,character_row,official-derived,,kCharacterCatalogBitmaps[31],16;16,kCharacterIdleBitmaps[31],24;24
32,Mimitchi,adult,balanced,buddy,1,4,even,1,one,3,boy;girl,5,1,233,3,165,character_row,official-derived,,kCharacterCatalogBitmaps[32],16;16,kCharacterIdleBitmaps[32],24;24
33,Chomametchi,adult,scholar,quill,1,4,even,1,one,3,boy;girl,5,2,234,7,169,character_row,official-derived,,kCharacterCatalogBitmaps[33],16;16,kCharacterIdleBitmaps[33],24;24
34,Dekotchi,adult,rascal,rascal,1,4,even,1,one,3,boy;girl,5,3,235,6,173,character_row,official-derived,,kCharacterCatalogBitmaps[34],16;16,kCharacterIdleBitmaps[34],24;24
35,Hidatchi,adult,athlete,bolt,0,4,even,2,two,3,boy;girl,5,4,236,5,176,character_row,official-derived,,kCharacterCatalogBitmaps[35],16;16,kCharacterIdleBitmaps[35],24;24
36,Debatchi,adult,athlete,bolt,3,4,even,2,two,3,boy;girl,5,5,237,5,183,character_row,official-derived,,kCharacterCatalogBitmaps[36],16;16,kCharacterIdleBitmaps[36],24;24
37,Bunbutchi,adult,social,dream,2,4,even,2,two,3,boy;girl,5,6,238,4,186,character_row,official-derived,,kCharacterCatalogBitmaps[37],16;16,kCharacterIdleBitmaps[37],24;24
38,Pipotchi,adult,social,buddy,2,4,even,4,three,3,boy;girl,5,7,239,3,190,character_row,official-derived,,kCharacterCatalogBitmaps[38],16;16,kCharacterIdleBitmaps[38],24;24
39,Drotchi,adult,rascal,rascal,1,4,even,4,three,3,boy;girl,5,8,240,6,161,character_row,official-derived,,kCharacterCatalogBitmaps[39],16;16,kCharacterIdleBitmaps[39],24;24
40,Bill,adult,scholar,quill,0,4,even,4,three,3,boy;girl,6,1,241,7,196,character_row,official-derived,,kCharacterCatalogBitmaps[40],16;16,kCharacterIdleBitmaps[40],24;24
41,Robotchi,adult,scholar,quill,2,4,even,8,four,3,boy;girl,6,2,242,7,202,character_row,official-derived,,kCharacterCatalogBitmaps[41],16;16,kCharacterIdleBitmaps[41],24;24
42,Wooltchi,adult,dreamer,dream,0,4,even,8,four,3,boy;girl,6,3,243,4,204,character_row,official-derived,,kCharacterCatalogBitmaps[42],16;16,kCharacterIdleBitmaps[42],24;24
43,Teketchi,adult,dreamer,dream,2,4,even,8,four,3,boy;girl,6,4,244,4,210,character_row,official-derived,,kCharacterCatalogBitmaps[43],16;16,kCharacterIdleBitmaps[43],24;24
44,Gozarutchi,adult,athlete,bolt,2,4,even,16,special,3,boy;girl,6,5,245,5,214,character_row,official-derived,,kCharacterCatalogBitmaps[44],16;16,kCharacterIdleBitmaps[44],24;24
45,Warusotchi,adult,rascal,rascal,3,4,even,16,special,3,boy;girl,6,6,246,6,219,character_row,official-derived,,kCharacterCatalogBitmaps[45],16;16,kCharacterIdleBitmaps[45],24;24
46,Sekitoritchi,adult,athlete,bolt,2,4,even,16,special,3,boy;girl,6,7,247,5,222,character_row,official-derived,,kCharacterCatalogBitmaps[46],16;16,kCharacterIdleBitmaps[46],24;24
47,Oyajitchi,adult,rascal,sage,2,7,first;odd;even,16,special,1,boy,6,8,248,8,194,character_row,official-derived,,kCharacterCatalogBitmaps[47],16;16,kCharacterIdleBitmaps[47],24;24
48,Ojitchi,elder,balanced,sage,0,7,first;odd;even,31,one;two;three;four;special,1,boy,7,1,249,8,228,character_row,official-derived,,kCharacterCatalogBitmaps[48],16;16,kCharacterIdleBitmaps[48],24;24
49,Otokitchi,elder,scholar,sage,1,7,first;odd;even,31,one;two;three;four;special,2,girl,7,2,250,8,233,character_row,official-derived,,kCharacterCatalogBitmaps[49],16;16,kCharacterIdleBitmaps[49],24;24
