sprite,label,frame,width,height,part_count,bbox,out_of_nominal_bounds,part_assets
kFoodCrumbs,FOOD CRMB,kFrameFoodCrumbsComposed,32,32,8,"0,1,31,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_SMILE B_FOOT B_FOOT B_CRUMBS B_CRUMBS
kFoodRefuse,FOOD NO,kFrameFoodRefuseComposed,32,32,8,"0,1,30,31",no,B_MAME_BODY B_EYE_SAD B_EYE_SAD B_MOUTH_SAD B_FOOT B_FOOT B_SPOON B_ANGRY_MARK
kFoodDone,FOOD DONE,kFrameFoodDoneComposed,32,32,8,"0,1,31,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_OPEN B_FOOT B_FOOT B_SPARKLE B_HEART
kToilet0,TOILET0,kFrameToilet0Composed,32,32,7,"0,1,30,31",no,B_MAME_BODY B_EYE_SAD B_EYE_SAD B_MOUTH_SAD B_FOOT B_FOOT B_SWEAT
kToilet1,TOILET1,kFrameToilet1Composed,32,32,8,"0,0,31,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_SMILE B_FOOT B_FOOT B_SPARKLE B_SPARKLE
kToiletMess,MESS,kFrameToiletMessComposed,32,32,8,"0,1,30,31",no,B_MAME_BODY B_EYE_SAD B_EYE_SAD B_MOUTH_SAD B_FOOT B_FOOT B_MESS B_SWEAT
kToiletSweep0,SWEEP0,kFrameToiletSweep0Composed,32,32,8,"0,1,29,31",no,B_MAME_BODY B_EYE_SAD B_EYE_SAD B_MOUTH_SAD B_FOOT B_FOOT B_MESS B_SWEEP
kToiletSweep1,SWEEP1,kFrameToiletSweep1Composed,32,32,8,"0,0,29,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_SMILE B_FOOT B_FOOT B_MESS B_SWEEP
kToiletDone,TOIL DONE,kFrameToiletDoneComposed,32,32,9,"0,0,31,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_OPEN B_FOOT B_FOOT B_SPARKLE B_SPARKLE B_CRUMBS
kToiletNoMess,NO MESS,kFrameToiletNoMessComposed,32,32,7,"0,1,30,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT B_QUESTION
kMedicine0,MED0,kFrameMedicine0Composed,32,32,8,"0,1,30,31",no,B_MAME_BODY B_EYE_SICK B_EYE_SICK B_MOUTH_OPEN B_FOOT B_FOOT B_PILL B_SWEAT
kMedicine1,MED1,kFrameMedicine1Composed,32,32,8,"0,1,31,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT B_SPARKLE B_SPARKLE
kMedicineSickSkull,MED SKULL,kFrameMedicineSickSkullComposed,32,32,8,"0,1,30,31",no,B_MAME_BODY B_EYE_SICK B_EYE_SICK B_MOUTH_SAD B_FOOT B_FOOT B_SKULL B_SWEAT
kMedicineSickTooth,MED TOOTH,kFrameMedicineSickToothComposed,32,32,8,"0,1,30,31",no,B_MAME_BODY B_EYE_SICK B_EYE_SICK B_MOUTH_SAD B_FOOT B_FOOT B_TOOTH B_SWEAT
kMedicineDose0,DOSE0,kFrameMedicineDose0Composed,32,32,8,"0,1,31,31",no,B_MAME_BODY B_EYE_SICK B_EYE_SICK B_MOUTH_OPEN B_FOOT B_FOOT B_PILL B_SKULL
kMedicineDose1,DOSE1,kFrameMedicineDose1Composed,32,32,8,"0,1,31,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_OPEN B_FOOT B_FOOT B_PILL B_SWEAT
kMedicineRecover,RECOVER,kFrameMedicineRecoverComposed,32,32,9,"0,1,31,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_OPEN B_FOOT B_FOOT B_SPARKLE B_SPARKLE B_HEART
kMedicineRefuse,MED NO,kFrameMedicineRefuseComposed,32,32,8,"0,1,30,31",no,B_MAME_BODY B_EYE_SAD B_EYE_SAD B_MOUTH_SAD B_FOOT B_FOOT B_PILL B_ANGRY_MARK
kLightsOn,LIGHT ON,kFrameLightsOnComposed,32,32,8,"0,1,29,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT B_SPARKLE B_SPARKLE
kLightsOff,LIGHTS,kFrameLightsOffComposed,32,32,6,"0,2,30,30",no,B_MAME_BODY B_EYE_SLEEP B_EYE_SLEEP B_MOUTH_SMILE B_Z_MARK B_Z_MARK
kLightsSelectorOn,LIGHT SEL ON,kFrameLightsSelectorOnComposed,32,32,8,"0,1,29,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT B_SPARKLE B_QUESTION
kLightsSelectorOff,LIGHT SEL OFF,kFrameLightsSelectorOffComposed,32,32,6,"0,2,30,30",no,B_MAME_BODY B_EYE_SLEEP B_EYE_SLEEP B_MOUTH_SMILE B_Z_MARK B_QUESTION
kLightsWake,LIGHT WAKE,kFrameLightsWakeComposed,32,32,8,"0,1,30,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_OPEN B_FOOT B_FOOT B_MUSIC B_SPARKLE
kLightsInvalid,LIGHT NO,kFrameLightsInvalidComposed,32,32,8,"0,1,30,31",no,B_MAME_BODY B_EYE_SAD B_EYE_SAD B_MOUTH_SAD B_FOOT B_FOOT B_QUESTION B_ANGRY_MARK
kDisciplineTimeout,TIMEOUT,kFrameDisciplineTimeoutComposed,32,32,7,"0,1,30,31",no,B_MAME_BODY B_EYE_SAD B_EYE_SAD B_MOUTH_SAD B_FOOT B_FOOT B_ANGRY_MARK
kDisciplinePraise,PRAISE,kFrameDisciplinePraiseComposed,32,32,8,"0,1,31,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_OPEN B_FOOT B_FOOT B_HEART B_MUSIC
kDisciplineInvalid,DISC NO,kFrameDisciplineInvalidComposed,32,32,8,"0,1,30,31",no,B_MAME_BODY B_EYE_SAD B_EYE_SAD B_MOUTH_SAD B_FOOT B_FOOT B_QUESTION B_ANGRY_MARK
kAttentionCall,ATTN,kFrameAttentionCallComposed,32,32,7,"0,1,31,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_OPEN B_FOOT B_FOOT B_QUESTION
kAttentionMissed,MISS CALL,kFrameAttentionMissedComposed,32,32,8,"0,2,30,31",no,B_MAME_BODY B_EYE_SAD B_EYE_SAD B_MOUTH_SAD B_FOOT B_FOOT B_SWEAT B_QUESTION
kItemPlay,ITEM,kFrameItemPlayComposed,32,32,8,"0,1,30,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT B_BALL B_SPARKLE
kShopBooth,SHOP BOOTH,kFrameShopBoothComposed,56,24,1,"0,0,55,21",no,B_SHOP_BOOTH
kShopkeeperIdle,SHOP IDLE,kFrameShopkeeperIdleComposed,32,32,7,"0,1,29,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT B_BOOK
kShopkeeperSurprise,SHOP WOW,kFrameShopkeeperSurpriseComposed,32,32,8,"0,0,29,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_OPEN B_FOOT B_FOOT B_QUESTION B_BOOK
kShopkeeperHappy,SHOP OK,kFrameShopkeeperHappyComposed,32,32,8,"0,0,29,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_SMILE B_FOOT B_FOOT B_HEART B_BOOK
kShopItemPreview,SHOP ITEM,kFrameShopItemPreviewComposed,24,24,1,"2,1,22,20",no,B_SHOP_PREVIEW
kShopBuyOk,BUY OK,kFrameShopBuyOkComposed,24,24,1,"3,3,20,20",no,B_SHOP_OK
kShopBuyNoMoney,NO POINTS,kFrameShopBuyNoMoneyComposed,24,24,1,"3,6,20,20",no,B_SHOP_NO_MONEY
kShopBuyFull,BUY FULL,kFrameShopBuyFullComposed,24,24,1,"3,2,21,19",no,B_SHOP_FULL
kShopSoldOut,SOLD OUT,kFrameShopSoldOutComposed,24,24,1,"4,4,19,21",no,B_SHOP_SOLD_OUT
kLinkSend,LINKTX,kFrameLinkSendComposed,32,32,8,"0,1,30,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT B_HEART B_MUSIC
kLinkReceive,LINKRX,kFrameLinkReceiveComposed,32,32,8,"0,1,31,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_OPEN B_FOOT B_FOOT B_HEART B_SPARKLE
kLovePartner,PARTNER,kFrameLovePartnerComposed,32,32,9,"0,1,29,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT B_HEART B_HEART B_HEART
kLoveBaby,BABY,kFrameLoveBabyComposed,32,32,8,"0,1,30,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_OPEN B_FOOT B_FOOT B_BABY B_HEART
kParentDepart,PARENT,kFrameParentDepartComposed,32,32,8,"0,1,30,31",no,B_MAME_BODY B_EYE_SAD B_EYE_SAD B_MOUTH_SMILE B_FOOT B_FOOT B_BABY B_SPARKLE
kGameWin,WIN,kFrameGameWinComposed,32,32,8,"0,0,31,30",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_OPEN B_FOOT B_FOOT B_SPARKLE B_HEART
kGameLose,LOSE,kFrameGameLoseComposed,32,32,7,"0,2,30,31",no,B_MAME_BODY B_EYE_SAD B_EYE_SAD B_MOUTH_SAD B_FOOT B_FOOT B_SWEAT
kGameGetNote,GET NOTE,kFrameGameGetNoteComposed,32,32,8,"0,1,30,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT B_NOTE B_NOTE
kGameGetBad,GET BAD,kFrameGameGetBadComposed,32,32,8,"0,1,30,31",no,B_MAME_BODY B_EYE_SAD B_EYE_SAD B_MOUTH_SAD B_FOOT B_FOOT B_MESS B_SWEAT
kGameGetCatch,GET OK,kFrameGameGetCatchComposed,32,32,8,"0,0,30,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_OPEN B_FOOT B_FOOT B_NOTE B_SPARKLE
kGameGetMiss,GET MISS,kFrameGameGetMissComposed,32,32,8,"0,2,29,31",no,B_MAME_BODY B_EYE_SAD B_EYE_SAD B_MOUTH_SAD B_FOOT B_FOOT B_NOTE B_SWEAT
kGameBumpMeter,BUMP MTR,kFrameGameBumpMeterComposed,32,32,7,"0,1,29,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_OPEN B_FOOT B_FOOT B_METER
kGameBumpPush,BUMP PUSH,kFrameGameBumpPushComposed,32,32,8,"0,1,30,31",no,B_MAME_BODY B_EYE_SAD B_EYE_SAD B_MOUTH_OPEN B_FOOT B_FOOT B_ANGRY_MARK B_BALL
kGameBumpFall,BUMP FALL,kFrameGameBumpFallComposed,32,32,6,"0,3,30,31",no,B_MAME_BODY B_EYE_SAD B_EYE_SAD B_MOUTH_SAD B_SWEAT B_CRUMBS
kGameFlagLeft,FLAG L,kFrameGameFlagLeftComposed,32,32,7,"0,1,29,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT B_FLAG
kGameFlagRight,FLAG R,kFrameGameFlagRightComposed,32,32,7,"0,1,31,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT B_FLAG
kGameFlagBoth,FLAG BOTH,kFrameGameFlagBothComposed,32,32,8,"0,1,31,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_OPEN B_FOOT B_FOOT B_FLAG B_FLAG
kGameFlagGood,FLAG OK,kFrameGameFlagGoodComposed,32,32,8,"0,0,31,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_OPEN B_FOOT B_FOOT B_SPARKLE B_FLAG
kGameFlagMiss,FLAG MISS,kFrameGameFlagMissComposed,32,32,8,"0,2,31,31",no,B_MAME_BODY B_EYE_SAD B_EYE_SAD B_MOUTH_SAD B_FOOT B_FOOT B_FLAG B_SWEAT
kGameHeadingBall,HEAD BALL,kFrameGameHeadingBallComposed,32,32,7,"0,1,29,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT B_BALL
kGameHeadingHit,HEAD HIT,kFrameGameHeadingHitComposed,32,32,8,"0,0,30,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_OPEN B_FOOT B_FOOT B_BALL B_SPARKLE
kGameHeadingMiss,HEAD MISS,kFrameGameHeadingMissComposed,32,32,8,"0,2,31,31",no,B_MAME_BODY B_EYE_SAD B_EYE_SAD B_MOUTH_SAD B_FOOT B_FOOT B_BALL B_SWEAT
kGameMemoryReveal,MEM SHOW,kFrameGameMemoryRevealComposed,32,32,8,"0,1,30,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT B_BOOK B_SPARKLE
kGameMemoryCursor,MEM CUR,kFrameGameMemoryCursorComposed,32,32,8,"0,1,30,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_OPEN B_FOOT B_FOOT B_QUESTION B_BOOK
kGameMemoryGood,MEM OK,kFrameGameMemoryGoodComposed,32,32,8,"0,0,30,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_OPEN B_FOOT B_FOOT B_BOOK B_HEART
kGameMemoryWrong,MEM WRONG,kFrameGameMemoryWrongComposed,32,32,8,"0,2,30,31",no,B_MAME_BODY B_EYE_SAD B_EYE_SAD B_MOUTH_SAD B_FOOT B_FOOT B_X_EYE B_BOOK
kGameSprintRunner0,RUN0,kFrameGameSprintRunner0Composed,32,32,7,"0,1,31,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT B_FLAG
kGameSprintRunner1,RUN1,kFrameGameSprintRunner1Composed,32,32,7,"0,0,31,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_OPEN B_FOOT B_FOOT B_FLAG
kGameSprintFinish,RUN FIN,kFrameGameSprintFinishComposed,32,32,8,"0,0,30,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_OPEN B_FOOT B_FOOT B_FLAG B_SPARKLE
kGameHoopsHoop,HOOP,kFrameGameHoopsHoopComposed,32,32,7,"0,1,29,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT B_HOOP
kGameHoopsShoot,HOOP SHOT,kFrameGameHoopsShootComposed,32,32,8,"0,0,29,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_OPEN B_FOOT B_FOOT B_HOOP B_BALL
kGameHoopsMade,HOOP OK,kFrameGameHoopsMadeComposed,32,32,9,"0,0,29,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_OPEN B_FOOT B_FOOT B_HOOP B_BALL B_SPARKLE
kGameHoopsMiss,HOOP MISS,kFrameGameHoopsMissComposed,32,32,8,"0,2,29,31",no,B_MAME_BODY B_EYE_SAD B_EYE_SAD B_MOUTH_SAD B_FOOT B_FOOT B_HOOP B_BALL
kPassed,PASSED,kFramePassedComposed,32,32,5,"0,3,30,31",no,B_MAME_BODY B_X_EYE B_X_EYE B_MOUTH_SAD B_Z_MARK
