index,label,kind,price,behavior,icon,icon_name,flags,flag_names,source_group,use_scene,use_scene_name,visual_traits,runtime_bitmap_symbol,runtime_dimensions_px,entry_source,art_status,official_status,official_source,official_coverage
16,HOT DOG,food,150,1,1,icon_1,0,,10,1,meal,16,kCatalogEntryBitmaps[16],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
17,MELON,food,500,7,7,icon_7,1,snack,10,2,snack,17,kCatalogEntryBitmaps[17],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
18,NOODLE,food,100,2,2,icon_2,0,,10,1,meal,18,kCatalogEntryBitmaps[18],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
19,OMELET,food,200,3,3,icon_3,0,,10,1,meal,19,kCatalogEntryBitmaps[19],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
20,PASTA,food,200,2,2,icon_2,0,,10,1,meal,20,kCatalogEntryBitmaps[20],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
21,PEAR,food,70,7,7,icon_7,1,snack,10,2,snack,21,kCatalogEntryBitmaps[21],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
22,PINEAPPLE,food,140,7,7,icon_7,1,snack,10,2,snack,22,kCatalogEntryBitmaps[22],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
23,ROLL CAKE,food,120,6,6,icon_6,1,snack,10,2,snack,23,kCatalogEntryBitmaps[23],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
24,ICE CREAM,food,120,5,5,icon_5,1,snack,10,2,snack,24,kCatalogEntryBitmaps[24],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
25,SODA,food,120,5,5,icon_5,1,snack,10,2,snack,25,kCatalogEntryBitmaps[25],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
26,WAFFLE,food,0,6,6,icon_6,1,snack,10,2,snack,26,kCatalogEntryBitmaps[26],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
27,SUNDAE,food,130,5,5,icon_5,1,snack,10,2,snack,27,kCatalogEntryBitmaps[27],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
28,SHAVED ICE,food,530,5,5,icon_5,1,snack,10,2,snack,28,kCatalogEntryBitmaps[28],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
29,PIZZA,food,140,1,1,icon_1,0,,10,1,meal,29,kCatalogEntryBitmaps[29],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
30,SWEET POTATO,food,600,0,0,icon_0,1,snack,10,2,snack,30,kCatalogEntryBitmaps[30],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
31,MILK,food,80,3,3,icon_3,0,,10,1,meal,31,kCatalogEntryBitmaps[31],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
32,JUICE,food,80,5,5,icon_5,1,snack,10,2,snack,32,kCatalogEntryBitmaps[32],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
33,GRAPES,food,160,7,7,icon_7,1,snack,10,2,snack,33,kCatalogEntryBitmaps[33],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
34,CANDY,food,0,5,5,icon_5,1,snack,10,2,snack,34,kCatalogEntryBitmaps[34],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
35,POPCORN,food,90,4,4,icon_4,1,snack,10,2,snack,35,kCatalogEntryBitmaps[35],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
36,GUM,food,100,5,5,icon_5,1,snack,10,2,snack,36,kCatalogEntryBitmaps[36],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
37,DANGO,food,100,6,6,icon_6,1,snack,10,2,snack,37,kCatalogEntryBitmaps[37],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
38,CREAM PUFF,food,150,6,6,icon_6,1,snack,10,2,snack,38,kCatalogEntryBitmaps[38],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
39,ENERGY DRINK,food,130,5,5,icon_5,1,snack,10,2,snack,39,kCatalogEntryBitmaps[39],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
40,SAUSAGE,food,100,1,1,icon_1,0,,10,1,meal,40,kCatalogEntryBitmaps[40],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
41,SAUSAGE,food,110,1,1,icon_1,0,,10,1,meal,41,kCatalogEntryBitmaps[41],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
42,CHIKUWA,food,130,1,1,icon_1,0,,10,1,meal,42,kCatalogEntryBitmaps[42],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
43,ESCARGOT,food,900,1,1,icon_1,0,,10,1,meal,43,kCatalogEntryBitmaps[43],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
44,MARRON CAKE,food,520,6,6,icon_6,1,snack,10,2,snack,44,kCatalogEntryBitmaps[44],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
45,RICE BALL,food,100,0,0,icon_0,0,,10,1,meal,45,kCatalogEntryBitmaps[45],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
46,SANDWICH,food,160,2,2,icon_2,0,,10,1,meal,46,kCatalogEntryBitmaps[46],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
47,TACO,food,150,1,1,icon_1,0,,10,1,meal,47,kCatalogEntryBitmaps[47],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
48,PENCIL,item,110,1,16,Pencil,4,adult_only,10,4,study,48,kCatalogEntryBitmaps[48],16;16,override,official_source_override,official-source C++ override,PENCIL,PENCIL
49,PLANT,item,80,2,17,Plant,0,,10,3,play,49,kCatalogEntryBitmaps[49],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
50,UMBRELLA,item,500,2,18,Umbrella,12,adult_only;reusable,10,3,play,50,kCatalogEntryBitmaps[50],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
51,SUNGLASSES,item,800,2,19,Glasses,12,adult_only;reusable,10,3,play,51,kCatalogEntryBitmaps[51],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
52,BOW,item,500,2,20,Bow,12,adult_only;reusable,10,3,play,52,kCatalogEntryBitmaps[52],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
53,DRUM,item,1600,6,21,Drum,12,adult_only;reusable,10,5,music,53,kCatalogEntryBitmaps[53],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
54,SHOVEL,item,80,0,22,Shovel,0,,10,3,play,54,kCatalogEntryBitmaps[54],16;16,override,official_source_override,official-source C++ override,SHOVEL,SHOVEL
55,ROLLER BLADES,item,1800,0,23,Skates,12,adult_only;reusable,10,3,play,55,kCatalogEntryBitmaps[55],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
56,BALLOON,item,350,0,24,Balloon,24,reusable;child_plus,10,3,play,56,kCatalogEntryBitmaps[56],16;16,override,official_source_override,official-source C++ override,BALLOON,BALLOON
57,BOW TIE,item,700,2,25,BowTie,12,adult_only;reusable,10,3,play,57,kCatalogEntryBitmaps[57],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
58,CAP,item,700,2,26,Cap,12,adult_only;reusable,10,3,play,58,kCatalogEntryBitmaps[58],16;16,override,official_source_override,official-source C++ override,CAP,CAP
59,MUSIC,item,1500,6,6,icon_6,12,adult_only;reusable,10,5,music,59,kCatalogEntryBitmaps[59],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
60,BALL,item,200,3,3,icon_3,8,reusable,10,3,play,60,kCatalogEntryBitmaps[60],16;16,override,official_source_override,official-source C++ override,BALL,BALL
61,TICKET 2,item,2000,7,7,icon_7,6,travel;adult_only,10,6,travel,61,kCatalogEntryBitmaps[61],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
62,ACTION FIG,item,1400,0,40,Character,8,reusable,10,3,play,62,kCatalogEntryBitmaps[62],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
63,BALLOON,item,350,0,24,Balloon,24,reusable;child_plus,10,3,play,63,kCatalogEntryBitmaps[63],16;16,override,official_source_override,official-source C++ override,BALLOON,BALLOON
64,BLDG BLOCK,item,800,4,4,icon_4,40,reusable;teen_plus,10,3,play,64,kCatalogEntryBitmaps[64],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
65,BOOM BOX,item,1400,6,6,icon_6,8,reusable,10,5,music,65,kCatalogEntryBitmaps[65],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
66,CHEST,item,200,2,27,Chest,0,,10,3,play,66,kCatalogEntryBitmaps[66],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
67,DARTS,item,100,0,28,Darts,4,adult_only,10,3,play,67,kCatalogEntryBitmaps[67],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
68,DOLL 1,item,1400,0,0,icon_0,8,reusable,10,3,play,68,kCatalogEntryBitmaps[68],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
69,FISHING POLE,item,400,7,29,Pole,0,,10,3,play,69,kCatalogEntryBitmaps[69],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
70,LAMP,item,700,2,30,Lamp,8,reusable,10,3,play,70,kCatalogEntryBitmaps[70],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
71,MIRROR,item,3000,2,31,Mirror,12,adult_only;reusable,10,3,play,71,kCatalogEntryBitmaps[71],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
72,MUSIC DISC,item,500,6,6,icon_6,0,,10,5,music,72,kCatalogEntryBitmaps[72],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
73,PHONOGRAPH,item,5000,6,32,Phonograph,8,reusable,10,5,music,73,kCatalogEntryBitmaps[73],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
74,RC CAR 1,item,1000,0,33,Car,12,adult_only;reusable,10,3,play,74,kCatalogEntryBitmaps[74],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
75,RC CAR 2,item,1500,0,33,Car,12,adult_only;reusable,10,3,play,75,kCatalogEntryBitmaps[75],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
76,ROPE,item,550,5,5,icon_5,40,reusable;teen_plus,10,3,play,76,kCatalogEntryBitmaps[76],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
77,SHIRT,item,1000,2,34,Shirt,12,adult_only;reusable,10,3,play,77,kCatalogEntryBitmaps[77],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
78,SHOES,item,1900,0,35,Shoes,4,adult_only,10,3,play,78,kCatalogEntryBitmaps[78],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
79,THRONE,item,5500,2,36,Throne,12,adult_only;reusable,10,3,play,79,kCatalogEntryBitmaps[79],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
80,TICKET 1,item,5800,7,7,icon_7,6,travel;adult_only,10,6,travel,80,kCatalogEntryBitmaps[80],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
81,TICKET 3,item,4400,7,7,icon_7,6,travel;adult_only,10,6,travel,81,kCatalogEntryBitmaps[81],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
82,TICKET 4,item,5000,7,7,icon_7,6,travel;adult_only,10,6,travel,82,kCatalogEntryBitmaps[82],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
83,TICKET 5,item,2200,7,7,icon_7,6,travel;adult_only,10,6,travel,83,kCatalogEntryBitmaps[83],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
84,TRUMPET,item,1800,6,6,icon_6,12,adult_only;reusable,10,5,music,84,kCatalogEntryBitmaps[84],16;16,override,official_source_override,official-source C++ override,TRUMPET,TRUMPET
85,TURKEY,food,600,1,8,Tv,0,,10,1,meal,85,kCatalogEntryBitmaps[85],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
86,WHOLE CAKE,food,600,6,9,Weights,1,snack,10,2,snack,86,kCatalogEntryBitmaps[86],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
87,YOGURT,food,550,5,10,Wig,1,snack,10,2,snack,87,kCatalogEntryBitmaps[87],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
88,TV,item,5000,1,8,Tv,12,adult_only;reusable,10,4,study,88,kCatalogEntryBitmaps[88],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
89,WEIGHTS,item,600,0,9,Weights,12,adult_only;reusable,10,3,play,89,kCatalogEntryBitmaps[89],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
90,WIG,item,1000,2,10,Wig,12,adult_only;reusable,10,3,play,90,kCatalogEntryBitmaps[90],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
91,WINGS,item,1000,2,11,Wings,12,adult_only;reusable,10,3,play,91,kCatalogEntryBitmaps[91],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
92,DOLL 2,item,1400,0,12,Doll,8,reusable,10,3,play,92,kCatalogEntryBitmaps[92],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
93,MAKE-UP,item,1200,2,13,Makeup,4,adult_only,10,3,play,93,kCatalogEntryBitmaps[93],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
94,SHAVER,item,400,2,14,Shaver,12,adult_only;reusable,10,3,play,94,kCatalogEntryBitmaps[94],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
95,TAMA DRINK,item,1200,2,15,TamaDrink,4,adult_only,10,3,play,95,kCatalogEntryBitmaps[95],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
96,ICE CREAM,food,120,5,5,icon_5,1,snack,11,2,snack,96,kCatalogEntryBitmaps[96],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
97,SODA,food,120,5,5,icon_5,1,snack,11,2,snack,97,kCatalogEntryBitmaps[97],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
98,WAFFLE,food,0,6,6,icon_6,1,snack,11,2,snack,98,kCatalogEntryBitmaps[98],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
99,SUNDAE,food,130,5,5,icon_5,1,snack,11,2,snack,99,kCatalogEntryBitmaps[99],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
100,SHAVED ICE,food,530,5,5,icon_5,1,snack,11,2,snack,100,kCatalogEntryBitmaps[100],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
101,PIZZA,food,140,1,1,icon_1,0,,11,1,meal,101,kCatalogEntryBitmaps[101],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
102,SWEET POTATO,food,600,0,0,icon_0,1,snack,11,2,snack,102,kCatalogEntryBitmaps[102],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
103,MILK,food,80,3,3,icon_3,0,,11,1,meal,103,kCatalogEntryBitmaps[103],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
104,FRUIT JUICE,food,80,5,5,icon_5,1,snack,11,2,snack,104,kCatalogEntryBitmaps[104],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
105,GRAPES,food,160,7,7,icon_7,1,snack,11,2,snack,105,kCatalogEntryBitmaps[105],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
106,CANDY,food,0,5,5,icon_5,1,snack,11,2,snack,106,kCatalogEntryBitmaps[106],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
107,POPCORN,food,90,4,4,icon_4,1,snack,11,2,snack,107,kCatalogEntryBitmaps[107],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
108,GUM,food,100,5,5,icon_5,1,snack,11,2,snack,108,kCatalogEntryBitmaps[108],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
109,DANGO,food,100,6,6,icon_6,1,snack,11,2,snack,109,kCatalogEntryBitmaps[109],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
110,CREAM PUFF,food,150,6,6,icon_6,1,snack,11,2,snack,110,kCatalogEntryBitmaps[110],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
111,ENERGY DRINK,food,130,5,5,icon_5,1,snack,11,2,snack,111,kCatalogEntryBitmaps[111],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
112,PENCIL,item,110,1,16,Pencil,4,adult_only,11,4,study,112,kCatalogEntryBitmaps[112],16;16,override,official_source_override,official-source C++ override,PENCIL,PENCIL
113,PLANT,item,80,2,17,Plant,0,,11,3,play,113,kCatalogEntryBitmaps[113],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
114,UMBRELLA,item,500,2,18,Umbrella,12,adult_only;reusable,11,3,play,114,kCatalogEntryBitmaps[114],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
115,SUNGLASSES,item,800,2,19,Glasses,12,adult_only;reusable,11,3,play,115,kCatalogEntryBitmaps[115],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
116,BOW,item,500,2,20,Bow,12,adult_only;reusable,11,3,play,116,kCatalogEntryBitmaps[116],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
117,DRUM,item,1600,6,21,Drum,12,adult_only;reusable,11,5,music,117,kCatalogEntryBitmaps[117],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
118,SHOVEL,item,80,0,22,Shovel,0,,11,3,play,118,kCatalogEntryBitmaps[118],16;16,override,official_source_override,official-source C++ override,SHOVEL,SHOVEL
119,ROLLER BLADES,item,1800,0,23,Skates,12,adult_only;reusable,11,3,play,119,kCatalogEntryBitmaps[119],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
120,BALLOON,item,350,0,24,Balloon,24,reusable;child_plus,12,3,play,120,kCatalogEntryBitmaps[120],16;16,override,official_source_override,official-source C++ override,BALLOON,BALLOON
121,BOW TIE,item,700,2,25,BowTie,12,adult_only;reusable,12,3,play,121,kCatalogEntryBitmaps[121],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
122,CAP,item,700,2,26,Cap,12,adult_only;reusable,12,3,play,122,kCatalogEntryBitmaps[122],16;16,override,official_source_override,official-source C++ override,CAP,CAP
123,MUSIC,item,1500,6,6,icon_6,12,adult_only;reusable,12,5,music,123,kCatalogEntryBitmaps[123],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
124,CHIKUWA,food,130,1,1,icon_1,0,,12,1,meal,124,kCatalogEntryBitmaps[124],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
125,CREAM PUFF,food,150,6,6,icon_6,1,snack,12,2,snack,125,kCatalogEntryBitmaps[125],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
126,DANGO,food,100,6,6,icon_6,1,snack,12,2,snack,126,kCatalogEntryBitmaps[126],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
127,ESCARGOT,food,900,1,1,icon_1,0,,12,1,meal,127,kCatalogEntryBitmaps[127],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
128,GUM,food,100,5,5,icon_5,1,snack,12,2,snack,128,kCatalogEntryBitmaps[128],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
129,MARRON CAKE,food,520,6,6,icon_6,1,snack,12,2,snack,129,kCatalogEntryBitmaps[129],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
130,RICE BALL,food,100,0,0,icon_0,0,,12,1,meal,130,kCatalogEntryBitmaps[130],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
131,SAUSAGE,food,100,1,1,icon_1,0,,12,1,meal,131,kCatalogEntryBitmaps[131],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
132,ACTION FIG,item,1400,0,40,Character,8,reusable,12,3,play,132,kCatalogEntryBitmaps[132],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
133,BLDG BLOCK,item,800,4,4,icon_4,40,reusable;teen_plus,12,3,play,133,kCatalogEntryBitmaps[133],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
134,BOOM BOX,item,1400,6,6,icon_6,8,reusable,12,5,music,134,kCatalogEntryBitmaps[134],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
135,RC CAR 1,item,1000,0,33,Car,12,adult_only;reusable,12,3,play,135,kCatalogEntryBitmaps[135],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
136,RC CAR 2,item,1500,0,33,Car,12,adult_only;reusable,12,3,play,136,kCatalogEntryBitmaps[136],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
137,ROPE,item,550,5,5,icon_5,40,reusable;teen_plus,12,3,play,137,kCatalogEntryBitmaps[137],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
138,SHIRT,item,1000,2,34,Shirt,12,adult_only;reusable,12,3,play,138,kCatalogEntryBitmaps[138],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
139,SHOES,item,1900,0,35,Shoes,4,adult_only,12,3,play,139,kCatalogEntryBitmaps[139],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
140,THRONE,item,5500,2,36,Throne,12,adult_only;reusable,12,3,play,140,kCatalogEntryBitmaps[140],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
141,TRUMPET,item,1800,6,6,icon_6,12,adult_only;reusable,12,5,music,141,kCatalogEntryBitmaps[141],16;16,override,official_source_override,official-source C++ override,TRUMPET,TRUMPET
142,TV,item,5000,1,8,Tv,12,adult_only;reusable,12,4,study,142,kCatalogEntryBitmaps[142],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
143,WEIGHTS,item,600,0,9,Weights,12,adult_only;reusable,12,3,play,143,kCatalogEntryBitmaps[143],16;16,override,official section scene only,official section scene only,item/shop behavior reference,source-backed substitute with official section scene reference
144,CAKE,food,600,6,6,icon_6,129,snack;secret,9,2,snack,144,kCatalogEntryBitmaps[144],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
